Panel ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
22248,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,5,8,7,9,4,6,10,4,6,7,7,5,7,10,5,5,5,3,2,5,1,2,3,3,4,5,4,2,2,2,5,2,2,1,3,1,4,2,1
22249,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,6,6,3,5,5,3,1,1,4,3,5,1,1,3,1,4,3,3,1,1,3,1,1,1,3
22250,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,5,5,5,5,5,5,9,8,5,5,5,5,5,8,8,8,8,4,1,1,3,4,4,5,1,4,1,1,1,1,5,3,3,3,1,1,2,2,1
22251,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,6,6,3,6,2,6,7,6,7,5,7,6,6,6,10,10,10,4,2,3,2,2,3,3,4,3,3,4,1,4,5,4,3,1,1,4,1,1,2
22252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,3,2,4,4,4,4,3,4,4,3,3,3,4,2,3,3,4,3,3,2,3
22253,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,9,6,9,8,6,8,10,7,7,10,8,8,8,9,10,10,10,1,5,4,2,5,1,4,5,4,4,5,4,5,5,5,5,2,4,4,5,2,5
22254,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,7,6,8,8,6,6,7,7,7,7,7,4,7,6,8,8,8,3,5,5,2,4,3,4,5,4,4,3,3,5,4,3,4,3,2,4,2,2,5
22255,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,6,5,6,8,3,8,10,5,4,7,8,2,8,9,8,8,8,3,3,3,1,4,2,5,5,4,5,3,3,3,5,5,3,3,4,4,4,3,5
22256,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,8,8,7,9,8,9,9,7,7,7,7,7,7,7,7,7,7,4,3,3,3,4,2,4,4,4,2,2,3,3,4,4,3,3,2,3,3,2,3
22257,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,3,2,9,9,2,2,2,2,2,9,5,8,8,4,4,4,2,3,3,4,3,4,3,3,4,4,4,3,4,3,4,3,3,4,2
22258,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,8,8,8,3,3,1,9,8,9,8,4,4,4,8,8,8,2,4,4,3,2,4,4,3,3,3,4,4,4,4,2,4,3,3,4,3,3,3
22259,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,4,4,6,4,4,4,8,5,7,5,8,3,5,9,6,6,7,3,5,2,3,2,4,5,1,4,2,3,3,5,4,4,5,3,2,3,2,3,1
22260,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,6,5,8,5,4,3,8,8,6,8,7,4,6,9,6,5,9,1,4,4,2,3,1,4,5,5,3,2,1,3,5,4,3,1,2,1,2,2,2
22261,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,1,4,3,5,3,1,5,5,2,3,1,1,2,4,1,1,4,3,2,2,1,4
22262,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,1,3,7,4,4,4,4,4,4,6,6,5,7,2,5,4,3,2,4,4,4,5,3,4,2,5,4,4,5,3,3,4,3,4,4
22263,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,4,4,1,4,1,4,5,4,4,9,4,9,6,4,6,6,6,3,3,3,3,3,1,3,3,3,4,2,3,3,3,3,3,3,2,3,4,2,4
22264,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,4,5,3,7,6,5,10,5,4,4,8,6,5,9,5,5,7,2,2,1,4,4,2,5,4,3,2,3,2,2,5,3,3,2,1,4,1,2,5
22265,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,4,4,3,5,3,3,4,5,5,5,4,3,3,2,4,4,3,3,4,4,2,4,3,4,2,3,3,4,4,1,3,5
22266,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,5,5,4,7,3,5,6,5,5,1,7,3,5,9,5,9,6,5,3,3,1,5,5,5,5,5,1,3,3,5,5,1,3,1,1,5,3,3,2
22267,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,3,2,4,1,2,5,3,4,2,4,1,4,5,5,6,6,2,4,2,4,4,4,5,5,4,2,1,2,3,4,4,5,3,1,1,1,2,2
22268,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,4,4,4,4,4,6,3,3,3,3,2,3,4,7,7,7,3,2,1,1,4,1,2,5,3,2,2,3,3,5,4,2,2,2,2,1,2,4
22269,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,3,1,1,1,1,6,1,1,1,1,1,1,4,5,6,6,5,5,3,3,3,1,3,1,5,1,4,1,3,4,3,5,1,1,2,1,1,1
22270,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,5,3,3,5,3,5,6,5,4,4,4,2,5,5,5,5,5,3,5,4,2,4,3,4,4,3,4,4,2,4,4,3,4,3,2,3,2,2,3
22271,1,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,5,5,6,6,5,5,10,5,5,5,5,5,5,5,8,8,9,3,4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3
22272,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,2,7,7,3,3,2,4,1,5,5,3,3,3,3,5,3,1,5,3,4,5,5,2,3,3,5,5,3,4,2,2,4,3,3,4
22273,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,8,8,7,7,9,7,9,6,7,3,8,2,3,9,7,9,9,4,3,3,3,2,2,4,5,5,5,4,2,2,4,4,2,2,4,5,4,2,5
22274,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,2,4,4,1,1,3,4,2,2,1,3,1,5,3,1,1,1,1,1,1,1,1
22275,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,3,3,6,3,3,8,6,6,6,6,6,6,6,5,8,8,4,4,3,3,4,5,5,4,4,3,3,5,4,4,4,5,4,3,5,4,3,4
22276,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,5,1,1,1,8,5,5,5,5,5,5,5,5,5,5,4,2,1,1,3,2,5,2,4,1,3,2,2,3,3,2,2,1,1,1,2,1
22277,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,7,7,7,8,5,8,9,4,6,5,1,1,1,7,9,9,9,5,1,1,2,4,5,5,1,5,4,4,3,2,5,5,5,4,4,4,3,4,3
22278,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,5,7,9,6,3,4,8,5,7,3,7,4,4,8,7,8,9,3,1,2,1,3,3,5,5,5,4,1,2,1,5,1,3,2,2,3,3,1,2
22279,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,8,5,8,2,6,10,1,7,8,7,1,3,10,2,6,6,3,3,5,4,5,2,3,3,3,3,3,5,5,4,1,5,3,2,4,4,5,2
22280,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,6,6,5,6,4,5,7,6,5,5,4,7,5,4,8,8,8,4,4,3,3,3,4,4,5,4,4,4,3,4,4,5,3,4,3,4,4,4,3
22281,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,8,7,7,9,7,7,9,6,6,6,9,6,8,9,8,7,9,4,5,3,3,4,5,5,3,4,2,2,3,4,4,3,5,3,3,2,3,2,3
22282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,4,8,10,4,4,9,8,8,8,8,1,8,8,5,5,5,5,1,3,3,5,5,4,5,5,3,3,5,3,5,4,3,3,3,3,4,3,4
22283,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,3,3,4,5,4,2,2,3,8,6,2,2,9,3,5,5,3,3,1,3,5,3,5,5,5,5,4,4,1,5,3,3,3,5,5,4,3,5
22284,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,1,5,5,5,5,5,5,9,6,4,5,5,6,5,5,4,4,5,3,3,3,3,4,3,5,5,4,4,4,4,5,5,5,5,3,3,5,4,4,3
22285,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,7,7,9,4,9,8,3,5,5,5,3,4,3,2,3,3,4,4,3,3,4,4,4,5,2,4,2,2,2,3,2,3
22286,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,5,7,6,3,5,5,7,8,4,5,8,5,5,5,4,4,4,3,4,3,4,3,4,3,2,2,4,4,4,3,2,2,3,3,2,4
22287,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,6,10,3,4,8,10,3,4,6,4,2,4,9,4,10,10,4,4,2,1,5,1,5,5,4,5,3,5,3,5,3,5,4,1,1,4,1,4
22288,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,3,3,4,3,2,5,6,5,6,6,4,3,4,7,6,6,6,2,3,3,3,3,3,2,4,2,3,4,2,4,4,4,3,2,3,3,2,2,4
22289,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,3,3,3,4,3,3,6,7,6,8,5,7,7,4,3,3,3,4,2,2,2,3,2,4,3,5,3,4,2,2,4,3,3,2,2,2,2,2,2
22290,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,10,8,8,10,8,5,8,8,6,6,6,3,2,2,1,4,3,5,4,3,4,5,1,3,4,5,3,3,3,4,4,2,3
22291,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,8,1,1,1,1,1,1,6,8,8,8,5,3,3,3,5,5,5,3,2,3,5,5,3,5,5,3,3,5,5,5,5,3
22292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,5,6,7,6,3,5,7,6,6,9,6,6,6,9,9,8,8,3,5,5,2,3,4,4,4,3,4,4,1,5,5,4,5,3,3,4,4,4,4
22293,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,2,1,7,1,8,10,3,1,2,5,1,5,9,4,5,6,2,3,3,3,4,2,5,5,5,4,2,3,3,5,3,4,3,1,4,1,4,4
22294,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,2,2,2,4,2,6,5,5,5,5,5,5,5,6,6,6,5,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,1,1,5
